1.5773	235
1.5824	842
1.5864	639
1.5944	361
1.5984	789
1.6024	1023
1.6104	1023
1.6145	1023
1.6234	1023
1.6275	1023
1.6354	1023
1.6433	1023
1.6474	1023
1.6598	1023
1.6599	1023
1.6683	1023
1.6724	1023
1.6803	1023
1.6844	1023
1.6886	940
1.6964	499
1.7004	115
1.7044	169
1.7133	528
1.7175	943
1.7216	1023
1.7294	1023
1.7334	1023
1.7414	1023
1.7454	1023
1.7545	1023
1.7585	921
1.7624	697
1.7703	377
2.2414	123
2.2493	1023
2.2534	1023
2.2575	297
2.2663	813
2.2704	1023
2.2784	1023
2.2824	1023
2.2904	1023
2.2944	898
2.2984	868
2.3024	963
2.3115	1023
2.3154	992
2.3233	797
2.3273	532
2.3314	94
2.3354	617
2.3434	1023
2.3474	1023
2.3524	519
2.3603	255
2.3644	289
2.3712	310
2.3725	243
2.3803	234
2.3844	299
2.3884	302
2.3974	181
2.3975	2
2.9374	37
2.9453	178
2.9493	675
2.9544	548
2.9584	527
2.9665	1000
2.9705	1023
2.9783	1023
2.9825	1023
2.9904	1023
2.9994	1023
3.0035	1023
3.0074	972
3.0153	962
3.0194	1023
3.0274	1023
3.0315	1023
3.0403	1023
3.0443	972
3.0484	876
3.0524	614
3.0604	219
3.0605	5
3.0684	25
3.0723	49
3.0763	77
3.0814	108
3.0854	142
3.0894	250
3.0974	373
3.1014	483
3.1054	583
3.1094	649
3.1173	671
3.1251	626
3.1265	513
3.1344	324
3.1383	42
3.7244	123
3.7323	602
3.7364	797
3.7405	780
3.7484	672
3.7524	831
3.7565	933
3.7653	1023
3.7694	1023
3.7773	1023
3.7814	1023
3.7894	1023
3.7935	1023
3.8014	1023
3.8054	909
3.8104	787
3.8183	525
3.8224	420
3.8265	374
3.8304	456
3.8383	390
3.8424	173
3.8464	88
3.8514	241
3.8555	551
3.8634	820
3.8674	1011
3.8753	1023
3.8794	1023
3.8875	1023
3.8914	1023
3.9003	906
3.9043	668
3.9084	359
4.4854	260
4.4894	295
4.4944	49
4.5024	969
4.5064	1023
4.5173	1023
4.5184	1023
4.5264	1023
4.5304	1023
4.5394	1023
4.5434	1009
4.5513	959
4.5554	976
4.5595	1008
4.5674	1023
4.5714	1023
4.5804	970
4.5843	789
4.5885	696
4.5963	415
5.1824	28
5.1903	342
5.1944	583
5.1984	1023
5.2063	1023
5.2132	1023
5.2184	1023
5.2234	1023
5.2313	722
5.2354	227
5.2394	24
5.2434	203
5.2475	321
5.2554	322
5.2594	169
5.2644	98
5.2684	265
5.2763	422
5.2805	520
5.2845	595
5.2885	498
5.9314	1023
5.9354	887
5.9448	871
5.9474	1023
5.9564	1023
5.9605	1023
5.9684	1023
5.9724	1023
5.9804	1023
5.9844	1023
5.9933	1023
5.9975	1023
6.0054	1023
6.0133	1023
6.0174	1023
6.0254	1023
6.0294	965
6.0345	943
6.0384	984
6.0463	923
6.0504	770
6.0544	594
6.0624	445
6.0664	332
6.0704	245
6.0744	182
6.0833	148
6.0874	157
6.0914	151
6.0956	99
6.0995	16
6.6723	16
6.6774	634
6.6814	1023
6.6894	1023
6.6973	1023
6.7014	1023
6.7094	1009
6.7134	698
6.7174	299
6.7224	79
6.7264	158
6.7344	205
6.7385	231
6.7425	254
6.7465	281
6.7543	310
6.7584	331
6.7634	331
6.7740	300
6.7754	236
6.7794	142
6.7834	10
6.7875	45
6.7914	81
6.7954	115
6.8034	151
6.8084	258
6.8124	459
6.8164	585
6.8243	588
6.8284	489
6.8325	325
6.8403	143
7.4384	620
7.4473	1013
7.4515	1023
7.4593	1023
7.4634	1023
7.4681	885
7.4754	596
7.4794	190
7.4833	28
7.4873	32
7.4923	6
7.4964	105
7.5004	249
7.5045	420
7.5124	575
7.5165	685
7.5205	767
7.5283	839
7.5334	914
7.5375	989
7.5453	1023
7.5494	769
7.5534	255
8.2253	1023
8.2294	1023
8.2374	1023
8.2415	1023
8.2493	1023
8.2534	1010
8.2575	702
8.2664	336
8.2703	24
8.2743	93
8.2783	165
8.2824	237
8.2904	310
8.2944	388
8.2984	466
8.3025	537
8.3114	590
8.3155	611
8.3195	593
8.3235	533
8.3314	438
8.3354	80
8.3355	3
8.3395	6
8.3434	5
9.0324	1023
9.0403	744
9.0445	1023
9.0523	1023
9.0564	1023
9.0644	1023
9.0684	1023
9.0773	1023
9.0814	818
9.0854	624
9.0894	458
9.0974	281
9.1015	126
9.1054	11
9.1094	74
9.1134	146
9.1224	222
9.1264	291
9.1304	347
9.1345	387
9.1423	416
9.1463	313
9.1504	98
9.8424	702
9.8513	1023
9.8554	555
9.8634	1023
9.8674	1023
9.8754	1023
9.8794	1023
9.8873	987
9.8925	802
9.8964	700
9.9004	589
9.9084	481
9.9125	413
9.9164	280
9.9204	107
9.9244	14
9.9284	71
9.9374	137
9.9414	210
9.9455	280
9.9534	408
9.9574	425
9.9614	287
9.9654	157
9.9695	78
9.9742	33
10.7354	1023
10.7434	960
10.7485	1023
10.7564	1023
10.7604	1023
10.7684	883
10.7724	703
10.7764	452
10.7804	120
10.7844	21
10.7894	77
10.7974	147
10.8016	233
10.8055	324
10.8094	413
10.8173	494
10.8214	559
10.8254	604
10.8345	626
10.8384	622
10.8424	593
10.8464	521
10.8543	206
11.5093	600
11.5133	56
11.5184	1023
11.5264	1023
11.5304	1023
11.5384	854
11.5425	379
11.5464	59
11.5504	157
11.5544	280
11.5633	409
11.5674	538
11.5714	656
11.5755	758
11.5833	838
11.5874	898
11.5914	934
11.5994	946
11.6069	932
11.6085	892
11.6124	832
11.6203	755
11.6244	594
11.6284	247
11.6324	25
12.3124	1023
12.3203	482
12.3244	1022
12.3333	1023
12.3374	1023
12.3454	1023
12.3494	1023
12.3534	910
12.3613	697
12.3654	417
12.3694	121
12.3744	34
12.3785	84
12.3864	133
12.3904	177
12.3944	210
12.3984	232
12.4063	242
12.4105	240
12.4155	227
12.4194	205
12.4273	165
13.1273	1023
13.1313	937
13.1394	1023
13.1444	1023
13.1484	994
13.1597	503
13.1598	8
13.1605	92
13.1683	186
13.1724	278
13.1764	360
13.1804	432
13.1894	500
13.1935	561
13.1975	618
13.2053	667
13.2094	701
13.2134	713
